status file for recon-all
Sat Dec  7 22:03:18 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm5 fsaverage Sun Dec  8 01:22:28 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm10 fsaverage Sun Dec  8 01:22:30 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm15 fsaverage Sun Dec  8 01:22:31 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm20 fsaverage Sun Dec  8 01:22:33 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm25 fsaverage Sun Dec  8 01:22:35 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm0 fsaverage Sun Dec  8 01:22:37 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm5 fsaverage Sun Dec  8 01:22:38 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm10 fsaverage Sun Dec  8 01:22:40 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm15 fsaverage Sun Dec  8 01:22:42 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm20 fsaverage Sun Dec  8 01:22:43 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm25 fsaverage Sun Dec  8 01:22:45 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm0 fsaverage Sun Dec  8 01:22:48 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm5 fsaverage Sun Dec  8 01:22:48 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm10 fsaverage Sun Dec  8 01:22:50 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm15 fsaverage Sun Dec  8 01:22:52 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm20 fsaverage Sun Dec  8 01:22:54 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm25 fsaverage Sun Dec  8 01:22:56 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm0 fsaverage Sun Dec  8 01:22:58 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm5 fsaverage Sun Dec  8 01:22:59 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm10 fsaverage Sun Dec  8 01:23:00 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm15 fsaverage Sun Dec  8 01:23:02 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm20 fsaverage Sun Dec  8 01:23:04 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm25 fsaverage Sun Dec  8 01:23:06 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm0 fsaverage Sun Dec  8 01:23:08 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm5 fsaverage Sun Dec  8 01:23:09 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm10 fsaverage Sun Dec  8 01:23:11 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm15 fsaverage Sun Dec  8 01:23:12 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm20 fsaverage Sun Dec  8 01:23:14 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm25 fsaverage Sun Dec  8 01:23:16 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm0 fsaverage Sun Dec  8 01:23:18 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm5 fsaverage Sun Dec  8 01:23:19 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm10 fsaverage Sun Dec  8 01:23:21 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm15 fsaverage Sun Dec  8 01:23:23 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm20 fsaverage Sun Dec  8 01:23:24 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm25 fsaverage Sun Dec  8 01:23:26 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm0 fsaverage Sun Dec  8 01:23:29 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm5 fsaverage Sun Dec  8 01:23:30 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm10 fsaverage Sun Dec  8 01:23:31 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm15 fsaverage Sun Dec  8 01:23:33 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm20 fsaverage Sun Dec  8 01:23:35 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm25 fsaverage Sun Dec  8 01:23:37 CST 2024
recon-all -s sub1 finished without error at Sun Dec  8 01:23:40 CST 2024
